Časová značka,Jaký je váš věk?,Pohlaví:,Ve kterém městě žijete?,Jaké je vaše nejvyšší dosažené vzdělání?,Před kolika lety jste dosáhli svého nejvyššího vzdělání?,Pracujete momentálně?,Zvažujete další vzdělávání nebo osobní rozvoj v následujících 12 měsících?,Kdy jste naposledy absolvovali nějaký kurz nebo vzdělávací program?,Jak často využíváte online platformy pro vzdělávání nebo osobní rozvoj?,"Jaký typ kurzů vás nejvíce zajímá? (vyberte všechny, které se vás týkají)",Jaký je váš hlavní důvod pro další vzdělávání nebo osobní rozvoj?,Kolik času týdně jste ochotni věnovat online kurzům nebo vzdělávání?,"Jaké faktory vás nejvíce ovlivňují při výběru online kurzu nebo vzdělávací platformy? (vyberte všechny, které se vás týkají)",Jaký typ zakončení kurzu preferujete?,Kde obvykle hledáte informace o online kurzech?,Jaká cenová úroveň za kurz je pro vás přijatelná?,"Uveďte kurz, který jste absolvovali naposledy a jak jste se o něm dozvěděli: (Nepovinná otázka, volná odpověď)",Jak důležitá je pro vás při výběru kurzu ekologická udržitelnost platformy nebo značky?,"Sledujete trendy v oblasti nových technologií, jako je umělá inteligence nebo blockchain?"
26.10.2024 21:20:03,45 let a více,Žena,Písek,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,Před více než 2 lety,Méně než jednou měsíčně,"Jazyky, Rukodělné dovednosti ",Chci získat nové dovednosti pro kariérní růst,5–10 hodin,"Cena, Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",1 000–3 000 Kč,,Spíše důležitá,"Ano, občas sleduji novinky"
26.10.2024 21:20:17,35–44 let,Žena,Praha západ ,Střední škola bez maturity,Více než 10 let,Jsem živnostník,Ano,V posledních 6 měsících,Denně,Jazyky,"Zájem o osobní rozvoj, ale nemám konkrétní cíl",Méně než 2 hodiny,Flexibilita a dostupnost (možnost studovat kdykoli),Osvědčení o kvalifikaci,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",,Kurz aj,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
26.10.2024 21:26:40,18–24 let,Muž,Praha,Střední škola bez maturity,2–5 let,Jsem živnostník,Ano,V posledních 6 měsících,Denně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Osobní rozvoj (time management, sebeřízení), Kreativní dovednosti (fotografie, design)",,Více než 10 hodin,"Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Obsah kurzu (široký výběr témat), Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,Doporučení od známých,Více než 3 000 Kč,Kurz zaměřený na songwriting,Vůbec nedůležitá,"Ano, občas sleduji novinky"
26.10.2024 21:36:13,35–44 let,Žena,Kolín,Střední škola bez maturity,6–10 let,Jsem živnostník,Ne,Nikdy jsem neabsolvoval žádný kurz,Několikrát týdně,Jazyky,"Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,"Cena, Kvalita a hodnocení kurzu",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
26.10.2024 21:41:43,35–44 let,Žena,Vesnice,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,V posledních 6 měsících,Několikrát měsíčně,Poruchy chování ,Chci získat nové dovednosti pro kariérní růst,Méně než 2 hodiny,"Doporučení od známých nebo kolegů, Obsah kurzu (široký výběr témat), Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o kvalifikaci,V emailových newsletterech nebo zpravodajích,1 000–3 000 Kč,Jak nevybouchnout a nastavení si hranic. Přes mail.,Spíše nedůležitá,"Ne, ale chtěl/a bych se o tom dozvědět více"
26.10.2024 21:45:03,35–44 let,Žena,Praha,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,V posledních 1–2 letech,Nikdy,Zdraví a wellness,"Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,"Cena, Kvalita a hodnocení kurzu, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o profesní rekvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,Sanitářský kurz ,Spíše důležitá,Nezajímám se o to
26.10.2024 21:52:49,25–34 let,Muž,Praha,Střední škola bez maturity,2–5 let,"Ano, na plný úvazek",Ano,V posledních 1–2 letech,Méně než jednou měsíčně,"Kariérní rozvoj (soft skills, leadership), Odborné dovednosti (programování, marketing), Jazyky",Chci změnit obor nebo kariéru,Méně než 2 hodiny,"Cena, Kvalita a hodnocení kurzu",Osvědčení o kvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,,Neutrální,"Ano, velmi se zajímám"
26.10.2024 21:54:13,45 let a více,Žena,Praha,Vysokoškolské vzdělání,Více než 10 let,"Ano, na plný úvazek",Možná,V posledních 6 měsících,Několikrát měsíčně,"Kariérní rozvoj (soft skills, leadership), Osobní rozvoj (time management, sebeřízení), Zdraví a wellness, Kreativní dovednosti (fotografie, design)","Chci zlepšit svůj osobní život (např. time management, sebeřízení)",2–5 hodin,"Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o profesní rekvalifikaci,"Na webových stránkách (blogy, recenze)",Více než 3 000 Kč,Zákon o sociálních službách ,Velmi důležitá,"Ano, velmi se zajímám"
26.10.2024 22:09:09,35–44 let,Žena,Karlovy Vary ,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,Před více než 2 lety,Méně než jednou měsíčně,Zdraví a wellness,"Zájem o osobní rozvoj, ale nemám konkrétní cíl",2–5 hodin,Flexibilita a dostupnost (možnost studovat kdykoli),Osvědčení o profesní rekvalifikaci,"Na sociálních sítích (Facebook, Instagram, LinkedIn)",1 000–3 000 Kč,Angličtina ,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
26.10.2024 22:29:56,35–44 let,Žena,Praha ,Střední škola bez maturity,Více než 10 let,"Ano, na plný úvazek",Ano,Nikdy jsem neabsolvoval žádný kurz,Několikrát týdně,Jazyky,"Zájem o osobní rozvoj, ale nemám konkrétní cíl",5–10 hodin,"Cena, Kvalita a hodnocení kurzu, Doporučení od známých nebo kolegů, Flexibilita a dostupnost (možnost studovat kdykoli)",Osvědčení o profesní rekvalifikaci,Doporučení od známých,Více než 3 000 Kč,,Neutrální,"Ne, ale chtěl/a bych se o tom dozvědět více"
